Title,Date,Link,Description,Bill_Number,PDF Link
"H.R. 4812, the Ensuring Compliance Against Drug Diversion Act of 2019","Fri, 13 Nov 2020 10:58:00 -0500",https://www.cbo.gov/publication/56769,"As ordered reported by the House Committee on Energy and Commerce on September 9, 2020
",H.R. 4812,https://www.cbo.gov//system/files/2020-11/hr4812revised.pdf
"H.R. 8259, A bill to prohibit Russian Participation in the G7, and for other purposes","Thu, 12 Nov 2020 16:00:00 -0500",https://www.cbo.gov/publication/56761,"As ordered reported by the House Committee on Foreign Affairs on October 1, 2020
",H.R. 8259,https://www.cbo.gov//system/files/2020-11/hr8259.pdf
"S. 3191, Industries of the Future Act of 2020","Thu, 12 Nov 2020 16:00:00 -0500",https://www.cbo.gov/publication/56764,"As ordered reported by the Senate Committee on Commerce, Science, and Transportation on March 11, 2020
",S. 3191,https://www.cbo.gov//system/files/2020-11/S3191.pdf
"H.R. 5919, National Children’s Museum Act","Thu, 12 Nov 2020 16:00:00 -0500",https://www.cbo.gov/publication/56765,"As ordered reported by the House Committee on Transportation and Infrastructure on September 30, 2020
",H.R. 5919,https://www.cbo.gov//system/files/2020-11/hr5919.pdf
"H.R. 1494, Historically Black Colleges and Universities (HBCUs) Homeland Security Partnerships Act","Thu, 12 Nov 2020 16:00:00 -0500",https://www.cbo.gov/publication/56766,"As passed by the House of Representatives on February 10, 2020
",H.R. 1494,https://www.cbo.gov//system/files/2020-11/hr1494.pdf
"H.R. 3878, the Block, Report, and Suspend Suspicious Shipments Act of 2019","Thu, 12 Nov 2020 16:00:00 -0500",https://www.cbo.gov/publication/56767,"As ordered reported by the House Committee on Energy and Commerce on September 9, 2020
",H.R. 3878,https://www.cbo.gov//system/files/2020-11/hr3878revised.pdf
"S. 4222, GAO Database Modernization Act","Tue, 10 Nov 2020 16:06:00 -0500",https://www.cbo.gov/publication/56756,"As ordered reported by the Senate Committee on Homeland Security and Governmental Affairs on July 22, 2020
",S. 4222,https://www.cbo.gov//system/files/2020-11/S4222.pdf
"S. 3412, Guidance Clarity Act of 2020","Tue, 10 Nov 2020 16:06:00 -0500",https://www.cbo.gov/publication/56757,"As ordered reported by the Senate Committee on Homeland Security and Governmental Affairs on March 11, 2020
",S. 3412,https://www.cbo.gov//system/files/2020-11/S3412.pdf
"H.R. 7673, Represent America Abroad Act of 2020","Mon, 09 Nov 2020 16:32:00 -0500",https://www.cbo.gov/publication/56750,"As ordered reported by the House Committee on Foreign Affairs on October 1, 2020
",H.R. 7673,https://www.cbo.gov//system/files/2020-11/hr7673.pdf
"S. 804, Empowering Rural Economies Through Alaska Native Sustainable Arts and Handicrafts Act","Mon, 09 Nov 2020 16:32:00 -0500",https://www.cbo.gov/publication/56751,"As ordered reported by the Senate Committee on Commerce, Science, and Transportation on September 16, 2020
",S. 804,https://www.cbo.gov//system/files/2020-11/s804.pdf
"H.R. 7045, a bill to require the Secretary of Agriculture to conduct a study on lands that could be included in a National Forest in Hawai’i, and for other purposes","Mon, 09 Nov 2020 16:32:00 -0500",https://www.cbo.gov/publication/56752,"As ordered reported by the House Committee on Natural Resources on July 29, 2020
",H.R. 7045,https://www.cbo.gov//system/files/2020-11/hr7045.pdf
"H.R. 7694, Abuse of the Pardon Prevention Act of 2020","Mon, 09 Nov 2020 16:32:00 -0500",https://www.cbo.gov/publication/56753,"As ordered reported by the House Committee on the Judiciary
on July 23, 2020
",H.R. 7694,https://www.cbo.gov//system/files/2020-11/hr7694.pdf
"H.R. 5758, Ceiling Fan Improvement Act of 2020","Mon, 09 Nov 2020 16:32:00 -0500",https://www.cbo.gov/publication/56755,"As ordered reported by the House Committee on Energy and Commerce on July 15, 2020
",H.R. 5758,https://www.cbo.gov//system/files/2020-11/hr5758.pdf
"H.R. 1162, Water Recycling Investment and Improvement Act","Fri, 06 Nov 2020 15:42:00 -0500",https://www.cbo.gov/publication/56745,"As ordered reported by the House Committee on Natural Resources on March 11, 2020
",H.R. 1162,https://www.cbo.gov//system/files/2020-11/hr1162.pdf
"S. 2610, Tribal Energy Reauthorization Act","Fri, 06 Nov 2020 15:37:00 -0500",https://www.cbo.gov/publication/56744,"As ordered reported by the Senate Committee on Indian Affairs on July 29, 2020
",S. 2610,https://www.cbo.gov//system/files/2020-11/s2610_0.pdf
"H.R. 2277, a bill to designate the facility of the United States Postal Service located at 1715 Linnerud Drive in Sun Prairie, Wisconsin, as the “Fire Captain Cory Barr Post Office Building","Thu, 05 Nov 2020 17:46:00 -0500",https://www.cbo.gov/publication/56731,"As ordered reported by the House Committee on Oversight and Reform on September 16, 2020
",H.R. 2277,https://www.cbo.gov//system/files/2020-11/hr2277.pdf
"H.R. 5451, a bill to designate the facility of the United States Postal Service located at 599 East Genesse Street in Fayetteville, New York, as the “George H. Bacel Post Office Building”","Thu, 05 Nov 2020 17:44:00 -0500",https://www.cbo.gov/publication/56732,"As ordered reported by the House Committee on Oversight and Reform on September 16, 2020
",H.R. 5451,https://www.cbo.gov//system/files/2020-11/hr5451_0.pdf
"H.R. 5562, a bill to designate the facility of the United States Postal Service located at 4650 East Rosedale Street in Fort Worth, Texas, as the “Dionne Phillips Bagsby Post Office Building","Thu, 05 Nov 2020 17:43:00 -0500",https://www.cbo.gov/publication/56733,"As ordered reported by the House Committee on Oversight and Reform on September 16, 2020
",H.R. 5562,https://www.cbo.gov//system/files/2020-11/hr5562_0.pdf
"H.R. 5972, a bill to designate the facility of the United States Postal Service located at 500 Delaware Avenue, Suite 1, in Wilmington, Delaware, as the Mary Ann Shadd Cary Post Office","Thu, 05 Nov 2020 17:42:00 -0500",https://www.cbo.gov/publication/56734,"As ordered reported by the House Committee on Oversight and Reform on September 16, 2020
",H.R. 5972,https://www.cbo.gov//system/files/2020-11/hr5972_0.pdf
